P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
CACA	CAEL	CAEG	11.155216756210098	0.0	0.6234135166018618	1226783552.265625	6159027.734375	5603762.046875	1982061.234375	82294.46875	4129211.984375	1552477.546875	63245.21875	2263624.359375	137018664.171875	965747.96875	61452.34375	786514.46875	702572.59375	13789.59375
CACA	CAEG	CAHU	7.428877116878267	5.517808432387028e-14	0.5870327674042184	1239881875.84375	5405026.59375	6321795.53125	1930978.71875	77962.0625	4903764.15625	1643040.59375	50572.0625	2052344.53125	138450895.09375	937685.1875	75458.9375	870221.1875	820955.4375	13306.0625
CACA	CAEG	CAMI	6.66465388484783	1.333644306100723e-11	0.23927017106325654	1207451790.96875	6628621.53125	5671664.65625	2418138.15625	119909.4375	4718856.21875	1625667.96875	73340.5625	1874921.34375	134858621.96875	913128.6875	69729.0625	805549.4375	853519.9375	16387.0625
CACA	CAEG	CAOV	12.855396436595953	0.0	0.44484259925731684	1170935678.75	11362448.4375	5336403.4375	2296030.375	171066.0	4541326.25	1615812.5625	110923.75	2160864.9375	130915165.0	1443954.375	76675.625	784475.5	820516.875	22961.125
CACA	CAEG	CATH	5.453385782856606	2.4768514461648294e-08	0.4902694370065062	1237624004.0625	5436292.5	6380283.875	1946061.8125	63204.0	4893623.0	1704346.6875	56290.75	1936833.3125	138493580.625	907364.5	84383.75	885627.25	816989.25	14654.625
CACA	CAEL	CAHE	10.371401363525498	0.0	0.6817725010427084	1230190082.9375	6794462.9375	5524304.0	1996941.125	76636.25	4085921.375	1601859.0	71611.0	2448285.3125	136833821.9375	1095159.875	69506.375	788595.625	682921.625	15915.625
CACA	CAEL	CAIR	8.046627128860472	4.440892098500626e-16	0.7287830404949293	1198695062.546875	6239561.953125	5238662.203125	1920548.515625	86091.53125	3953369.203125	1618714.890625	63046.90625	2429767.515625	133714567.203125	1024208.53125	70815.78125	751760.15625	673254.78125	13478.28125
CAEL	CACA	CALO	4.755402545278548	9.914764435015044e-07	0.8939208051540173	415291425.125	1449814.5625	1401245.25	519721.9375	16251.625	2165081.3125	462547.625	15514.125	944350.9375	45898145.75	312835.125	30604.375	210370.75	287929.875	4007.625
CACA	CAEL	CAMI	9.551324849556961	0.0	0.7181259161672202	1209468526.875	6849847.0625	5418893.0	1907697.9375	96389.875	3994167.125	1551657.9375	69377.5	2458735.125	134730525.4375	1052022.5	65673.625	767398.25	670119.875	13736.875
CACA	CAEL	CAOV	9.352217174434864	0.0	0.7752081395929633	1169784766.359375	11310679.390625	5062076.328125	1826254.765625	139551.40625	3872735.515625	1481405.703125	99606.03125	2670638.265625	130450512.578125	1510144.65625	80217.78125	718854.28125	652525.03125	21606.90625
CACA	CAEL	CASE	9.37528772004633	0.0	0.6877570468161729	399405138.0625	2229211.0625	1789818.0	653334.0	28104.625	1291417.875	535395.875	21237.125	795170.4375	44406755.5625	334482.625	24733.125	256613.5	220586.25	4864.875
CACA	CAHE	CAHU	10.148966312216269	0.0	0.3384541762817278	1238632117.046875	5037097.390625	6599016.265625	2302936.140625	83451.40625	5078701.015625	1556601.890625	49918.65625	1938434.765625	137657802.265625	861930.53125	82104.15625	891334.28125	893557.03125	14737.15625
CACA	CAHE	CALO	9.516633476312625	0.0	0.46410610108790656	412251739.53125	1221266.59375	2304165.21875	670775.71875	16863.1875	1688767.84375	519944.09375	16020.1875	650570.46875	45603963.21875	236164.6875	31152.4375	302730.1875	283179.4375	5455.1875
CACA	CAHE	CAOV	10.816363812931652	0.0	0.25204753993915513	1178130028.21875	10687438.84375	5689385.96875	2784151.28125	162341.6875	4652022.84375	1563078.78125	109321.5625	1974559.90625	131633039.96875	1321989.5625	79661.0625	791028.8125	906821.6875	21375.8125
CACA	CAHE	CAPU	9.240996424548909	0.0	0.4775839029199968	1243680702.171875	5460262.078125	6963675.140625	2054688.828125	81010.28125	4953254.578125	1623335.015625	63551.15625	2017671.328125	138145097.890625	884247.53125	100234.03125	923837.78125	861248.28125	17144.90625
CACA	CSEL	CAHE	6.883669406085523	2.9343194540842887e-12	0.44938613961980545	1232839088.453125	6833896.671875	5066486.046875	2075223.109375	92659.46875	4682598.984375	1729735.796875	74941.59375	2011706.921875	137394548.484375	988072.71875	67187.84375	789715.71875	804206.46875	16590.71875
CAHE	CACA	FAFR	4.9708291890700105	3.338482527093234e-07	0.9908506044176761	1142087289.34375	17609899.84375	4910367.90625	1186534.71875	151628.1875	7416826.15625	1024234.71875	188930.4375	18600811.40625	107278524.96875	4403978.1875	312128.1875	584304.5625	812224.8125	50102.5625
CAHE	CACA	PAXI	5.7076492041477	5.743978848116171e-09	0.9932138544494229	1046659938.21875	24093421.40625	4742160.65625	919894.40625	172105.8125	6812123.78125	757381.65625	201171.6875	24542594.28125	90745830.15625	5698618.1875	399099.8125	502996.0625	661807.4375	60930.4375
CAHE	CACA	PINF	4.646681813553719	1.6884270519490485e-06	0.9946072842272963	1078280841.546875	23346417.703125	4824411.828125	905307.515625	162855.40625	6871072.328125	772904.890625	188991.53125	25192626.015625	93223147.203125	5720191.53125	388308.53125	515099.28125	678458.65625	60956.03125
CACA	CAIR	CAHU	10.408777326716763	0.0	0.419133510536284	1219960424.453125	5008152.296875	6214544.609375	2124543.296875	74663.34375	5057415.796875	1556279.359375	53456.09375	1966319.296875	135782222.609375	861817.84375	80274.84375	844974.71875	881193.34375	14857.09375
CACA	CALI	CAHU	5.889681163518652	1.941122929061123e-09	0.667923087359868	1265118766.546875	5632225.078125	4864560.953125	1900588.640625	73166.28125	5197122.390625	1681381.578125	63066.65625	2122283.828125	141163192.265625	973200.03125	56216.28125	760847.15625	836564.65625	15062.65625
CAHU	CACA	CAPY	6.8244276694619055	4.440003920080926e-12	0.9761932390618858	1164488104.859375	20144113.078125	5106320.828125	1408316.828125	165521.65625	5544098.703125	1169127.203125	178316.40625	10977067.703125	118913114.703125	3833951.40625	204465.65625	673773.65625	805470.65625	47734.65625
CACA	CATH	CAHU	6.52639479972764	3.385447477910475e-11	0.11833892533455265	1277138829.0	4418756.375	4493829.0	3096015.0	69311.125	5726023.125	1350240.0	53342.75	1584562.625	142859161.125	729939.125	57867.25	696231.375	1083654.0	13239.125
CACA	CSEL	CAHU	8.278977653092397	0.0	0.6346573551232886	1249987902.015625	5467375.546875	5472794.671875	1907271.046875	71424.71875	4978732.734375	1596316.984375	68564.21875	2136492.859375	138854221.984375	943346.84375	73437.71875	812940.59375	808960.21875	16608.84375
CAHU	CACA	FAFR	4.735413095062259	1.094364195264319e-06	0.9914077392908793	1172229120.59375	18304090.46875	5449887.65625	1170002.96875	146422.8125	5891961.78125	1016217.59375	168310.5625	18760559.40625	110240613.84375	4571962.9375	306856.3125	633707.0625	738841.5625	53962.4375
CAHU	CACA	PREI	5.689785940535425	6.378142680674159e-09	0.9932360238920409	372725174.875	7681056.1875	1720999.375	338185.6875	61711.375	1867270.3125	281342.0	61742.875	8628384.8125	32297717.25	1954649.875	122543.375	181986.75	216173.625	21521.625
CACA	CAIR	CALO	8.865982829494842	0.0	0.5496893651126575	406656139.875	1233511.25	2219343.9375	615944.4375	16555.75	1693532.3125	499605.8125	17414.5	641619.125	45086249.5	234318.25	32728.75	290491.875	279851.875	4686.75
CACA	CAIR	CAOV	12.402516856140737	0.0	0.25478166649221506	1154264564.296875	10028174.953125	4860845.640625	2839615.828125	160955.78125	4612406.265625	1474872.203125	109753.78125	1941462.515625	129040140.578125	1263327.15625	77396.03125	716525.78125	892966.03125	22556.15625
CACA	CAIR	CAPU	9.047821223163238	0.0	0.5284481861264118	1225712304.484375	5242647.015625	6602101.265625	1971617.078125	79059.40625	4922179.265625	1593354.953125	59172.03125	2017257.328125	136217156.265625	877596.40625	86080.15625	879234.78125	865994.65625	13742.90625
CACA	CALI	CALO	7.627707540849509	1.199040866595169e-14	0.6717861927488435	423866724.5	1406188.5625	1716681.75	591052.8125	14952.375	1811930.125	499686.4375	16839.125	686694.625	47062079.9375	269166.375	22600.0	253312.875	278728.375	3352.125
CACA	CALI	CAMI	4.944902614822482	3.8148041059393734e-07	0.24015257940752902	1223120268.078125	6993635.984375	4288537.046875	2217626.296875	82791.59375	4852274.046875	1639384.546875	83298.34375	1822139.984375	136681402.984375	948097.21875	48255.09375	696207.09375	831118.34375	13725.34375
CACA	CALI	CAOV	9.041161999532694	0.0	0.5728811529135098	1182804833.828125	11813129.671875	4123270.734375	2061876.046875	141521.46875	4592206.546875	1695041.234375	127347.46875	2187065.296875	132261923.109375	1462424.09375	59077.09375	665842.59375	796293.21875	21039.59375
CACA	CATH	CALO	9.587005993964697	0.0	0.3247081251617953	423433501.90625	1219383.15625	1801679.09375	719382.53125	15680.3125	1878886.09375	479881.53125	17068.5625	595043.46875	47070170.90625	224213.0625	27310.4375	264943.0625	316382.3125	4888.5625
CACA	CALO	CPAR	6.131091298019446	4.3809911254300005e-10	0.9778900184412983	309917187.46875	4372029.15625	1066118.09375	296811.59375	28092.6875	1506614.03125	240128.78125	31047.0625	2747121.21875	30740421.71875	914189.4375	39887.1875	161103.6875	183382.6875	9392.1875
CALO	CACA	PESE	4.750460375048184	1.016013398524862e-06	0.9942271912352105	118103291.6875	2626438.3125	565813.9375	103591.4375	21652.875	449108.0625	88335.3125	16932.125	2715835.1875	10261168.6875	634955.875	36119.875	60761.875	56291.375	6332.375
CACA	CAMI	CAOV	9.233918423054547	0.0	0.27318173888136216	1155661415.71875	10458279.71875	5664632.96875	2639557.15625	186330.9375	4560788.78125	1689430.84375	116105.6875	2046545.09375	128731266.78125	1344415.6875	82590.9375	825009.4375	836255.8125	24229.4375
CACA	CSEL	CAMI	8.2973849171606	0.0	0.3615290848858333	1212957088.765625	6803101.296875	4611320.234375	2223478.234375	80088.46875	4636844.421875	1663359.671875	77810.34375	1980522.359375	135175580.609375	951579.21875	59839.71875	733756.21875	821794.21875	14987.21875
CACA	CAMI	PREI	5.652997284297242	7.905632370963644e-09	0.9930602849876076	362123983.0	7296895.75	2185874.125	343017.75	76748.875	1594827.0625	286110.3125	54537.375	8429458.5625	31465015.6875	1883878.5	124184.5	219352.125	180791.5	19695.875
CACA	CAMI	PSCH	4.778255117016883	8.852304820283763e-07	0.9937708330208268	1043624586.875	22618714.5	6297559.9375	1053179.8125	259182.375	4569135.625	906122.625	176509.875	24366907.0625	90884230.0625	5578365.0	361181.25	623234.5	528823.375	56616.125
CACA	CASE	CAOV	10.86333177803926	0.0	0.2773449260971348	381815562.78125	3323450.21875	1775782.90625	888166.28125	46165.8125	1461850.53125	528285.90625	36010.5625	666402.96875	42625687.84375	434950.6875	22050.3125	256234.3125	272316.8125	6873.0625
CACA	CATH	CAOV	9.384046646434856	0.0	0.31647238155716445	1182332730.234375	11284200.453125	4606030.828125	2354364.828125	121454.65625	4881733.453125	1592285.703125	135417.65625	1945127.328125	132448993.828125	1355062.90625	62258.40625	762383.40625	884656.65625	22737.65625
CAOV	CACA	CPAR	8.903863711195344	0.0	0.9646486947962101	840817599.484375	11918534.078125	3485250.765625	1013594.765625	96768.40625	8226669.203125	755757.078125	153752.15625	7791502.640625	83385710.890625	2513415.15625	203871.40625	453227.28125	868424.40625	34531.28125
CACA	CSEL	CAOV	9.897170217524284	0.0	0.6426641636813649	1170672198.34375	11772740.09375	4800632.84375	1959571.78125	122133.6875	4462250.09375	1583531.78125	104061.4375	2259835.15625	130476455.71875	1487413.9375	66577.3125	745885.0625	774038.8125	23075.9375
CAOV	CACA	FABR	10.209779145489955	0.0	0.9791523441194184	1047339109.640625	16802732.171875	4638146.171875	1282578.171875	148432.84375	10807666.484375	948811.859375	258993.34375	16624822.109375	98442251.234375	4052633.59375	368974.84375	575537.59375	1089419.71875	60050.21875
CAOV	CACA	FADE	5.161967726553791	1.224089405393869e-07	0.9892526943132379	1076628167.296875	19559720.515625	4824931.640625	1295458.640625	184820.90625	10853062.390625	1119430.765625	291746.28125	17322194.015625	101826908.765625	4386812.40625	378787.65625	592682.28125	1078812.40625	65663.03125
CAOV	CACA	FAFR	8.770472305501404	0.0	0.9825021396768318	1096171021.46875	16799309.28125	4888746.28125	1336546.03125	147504.4375	11434095.21875	1040411.09375	247876.9375	17668341.84375	103433785.59375	4245001.8125	387466.6875	605188.0625	1128007.4375	61621.8125
