node_label	count0	count1	count2	topo0	topo1	topo2
QS2	7	10	3	((HUTE3,HUTE2),(HUTE1,CAEL1));	((HUTE3,HUTE1),(HUTE2,CAEL1));	((HUTE3,CAEL1),(HUTE1,HUTE2));
QS3	67	0	1	((HUTE1,HUTE3),(PLNY2,PESE1));	((HUTE1,PLNY2),(HUTE3,PESE1));	((HUTE1,PESE1),(PLNY2,HUTE3));
QS4	36	6	4	((LEAC3,HUTE3),(PLNY3,PLNY1));	((LEAC3,PLNY3),(HUTE3,PLNY1));	((LEAC3,PLNY1),(PLNY3,HUTE3));
QS5	8	10	8	((PLNY3,CAOV3),(PLNY1,PLNY2));	((PLNY3,PLNY1),(CAOV3,PLNY2));	((PLNY3,PLNY2),(PLNY1,CAOV3));
QS6	82	1	1	((PLNY2,HUTE3),(BOER3,PINF1));	((PLNY2,BOER3),(HUTE3,PINF1));	((PLNY2,PINF1),(BOER3,HUTE3));
QS7	89	0	0	((CSEL1,PLNY3),(BOER3,BOER1));	((CSEL1,BOER3),(PLNY3,BOER1));	((CSEL1,BOER1),(BOER3,PLNY3));
QS8	3	4	3	((BOER3,LEAC2),(BOER2,BOER1));	((BOER3,BOER2),(LEAC2,BOER1));	((BOER3,BOER1),(BOER2,LEAC2));
QS9	72	2	3	((BOER3,PLNY3),(NIRI1,CAHU1));	((BOER3,NIRI1),(PLNY3,CAHU1));	((BOER3,CAHU1),(NIRI1,PLNY3));
QS10	98	0	0	((FABR2,HUTE2),(NIRI2,NIRI1));	((FABR2,NIRI2),(HUTE2,NIRI1));	((FABR2,NIRI1),(NIRI2,HUTE2));
QS11	2	6	4	((NIRI2,LEAC3),(NIRI1,NIRI3));	((NIRI2,NIRI1),(LEAC3,NIRI3));	((NIRI2,NIRI3),(NIRI1,LEAC3));
QS12	68	4	3	((NIRI1,PLNY3),(LEAC2,PALT2));	((NIRI1,LEAC2),(PLNY3,PALT2));	((NIRI1,PALT2),(LEAC2,PLNY3));
QS13	96	0	0	((FAPU2,NIRI1),(LEAC2,LEAC1));	((FAPU2,LEAC2),(NIRI1,LEAC1));	((FAPU2,LEAC1),(LEAC2,NIRI1));
QS14	7	5	7	((LEAC2,FAIM2),(LEAC3,LEAC1));	((LEAC2,LEAC3),(FAIM2,LEAC1));	((LEAC2,LEAC1),(LEAC3,FAIM2));
QS15	68	4	5	((LEAC3,HUTE1),(BRCU2,CAPU2));	((LEAC3,BRCU2),(HUTE1,CAPU2));	((LEAC3,CAPU2),(BRCU2,HUTE1));
QS16	97	0	0	((FDEN1,NIRI1),(BRCU3,BRCU1));	((FDEN1,BRCU3),(NIRI1,BRCU1));	((FDEN1,BRCU1),(BRCU3,NIRI1));
QS17	8	6	2	((BRCU3,CALI1),(BRCU2,BRCU1));	((BRCU3,BRCU2),(CALI1,BRCU1));	((BRCU3,BRCU1),(BRCU2,CALI1));
QS18	87	1	0	((BRCU1,NIRI2),(PSCH3,FAPE3));	((BRCU1,PSCH3),(NIRI2,FAPE3));	((BRCU1,FAPE3),(PSCH3,NIRI2));
QS19	62	5	1	((CACA1,NIRI1),(PAXI2,PBON2));	((CACA1,PAXI2),(NIRI1,PBON2));	((CACA1,PBON2),(PAXI2,NIRI1));
QS20	70	2	2	((PINT1,CAHE2),(PAXI3,PEEX3));	((PINT1,PAXI3),(CAHE2,PEEX3));	((PINT1,PEEX3),(PAXI3,CAHE2));
QS21	55	2	3	((PESE1,FADE3),(PAXI3,PAXI1));	((PESE1,PAXI3),(FADE3,PAXI1));	((PESE1,PAXI1),(PAXI3,FADE3));
QS22	12	6	2	((PAXI3,CAOV3),(PAXI1,PAXI2));	((PAXI3,PAXI1),(CAOV3,PAXI2));	((PAXI3,PAXI2),(PAXI1,CAOV3));
QS23	20	16	7	((PAXI1,PINF2),(PESE1,PEEX1));	((PAXI1,PESE1),(PINF2,PEEX1));	((PAXI1,PEEX1),(PESE1,PINF2));
QS24	45	2	1	((PESE1,CACA2),(PEEX3,PEEX2));	((PESE1,PEEX3),(CACA2,PEEX2));	((PESE1,PEEX2),(PEEX3,CACA2));
QS25	3	2	3	((PEEX3,FAFR1),(PEEX1,PEEX2));	((PEEX3,PEEX1),(FAFR1,PEEX2));	((PEEX3,PEEX2),(PEEX1,FAFR1));
QS26	29	13	8	((PAXI1,PLNY2),(PCOR1,PINT2));	((PAXI1,PCOR1),(PLNY2,PINT2));	((PAXI1,PINT2),(PCOR1,PLNY2));
QS27	12	10	12	((PREI1,CAEG2),(PINF1,PCOR3));	((PREI1,PINF1),(CAEG2,PCOR3));	((PREI1,PCOR3),(PINF1,CAEG2));
QS28	29	8	6	((PCOR2,BRCU3),(PINF2,PINF1));	((PCOR2,PINF2),(BRCU3,PINF1));	((PCOR2,PINF1),(PINF2,BRCU3));
QS29	13	26	20	((PINF2,PEEX3),(PINF1,PINF3));	((PINF2,PINF1),(PEEX3,PINF3));	((PINF2,PINF3),(PINF1,PEEX3));
QS30	55	2	4	((PINF1,FAPA2),(PCOR2,PCOR1));	((PINF1,PCOR2),(FAPA2,PCOR1));	((PINF1,PCOR1),(PCOR2,FAPA2));
QS31	16	4	10	((PCOR2,PEIN1),(PCOR3,PCOR1));	((PCOR2,PCOR3),(PEIN1,PCOR1));	((PCOR2,PCOR1),(PCOR3,PEIN1));
QS32	22	8	17	((PCOR1,CALI3),(PINT1,PBON1));	((PCOR1,PINT1),(CALI3,PBON1));	((PCOR1,PBON1),(PINT1,CALI3));
QS33	55	2	4	((PALT2,CACA2),(PINT3,PINT2));	((PALT2,PINT3),(CACA2,PINT2));	((PALT2,PINT2),(PINT3,CACA2));
QS34	15	17	7	((PINT3,PALT3),(PINT2,PINT1));	((PINT3,PINT2),(PALT3,PINT1));	((PINT3,PINT1),(PINT2,PALT3));
QS35	18	17	9	((PINT2,FAPE2),(PSCH1,PBON2));	((PINT2,PSCH1),(FAPE2,PBON2));	((PINT2,PBON2),(PSCH1,FAPE2));
QS36	49	4	4	((PBON1,FDEN3),(PSCH2,PSCH3));	((PBON1,PSCH2),(FDEN3,PSCH3));	((PBON1,PSCH3),(PSCH2,FDEN3));
QS37	17	14	15	((PSCH2,FAPU1),(PSCH1,PSCH3));	((PSCH2,PSCH1),(FAPU1,PSCH3));	((PSCH2,PSCH3),(PSCH1,FAPU1));
QS38	7	15	16	((PSCH2,FDEN3),(PEIN1,PBON2));	((PSCH2,PEIN1),(FDEN3,PBON2));	((PSCH2,PBON2),(PEIN1,FDEN3));
QS39	23	13	10	((PEIN1,BRCU1),(PREI1,PBON2));	((PEIN1,PREI1),(BRCU1,PBON2));	((PEIN1,PBON2),(PREI1,BRCU1));
QS40	17	16	12	((PREI1,CASE1),(PBON3,PALT1));	((PREI1,PBON3),(CASE1,PALT1));	((PREI1,PALT1),(PBON3,CASE1));
QS41	39	9	10	((PALT1,CATH3),(PBON3,PBON2));	((PALT1,PBON3),(CATH3,PBON2));	((PALT1,PBON2),(PBON3,CATH3));
QS42	12	21	13	((PBON3,BRCU3),(PBON1,PBON2));	((PBON3,PBON1),(BRCU3,PBON2));	((PBON3,PBON2),(PBON1,BRCU3));
QS43	37	9	11	((PBON3,FAIM1),(PALT2,PALT1));	((PBON3,PALT2),(FAIM1,PALT1));	((PBON3,PALT1),(PALT2,FAIM1));
QS44	16	9	16	((PALT2,BOER2),(PALT3,PALT1));	((PALT2,PALT3),(BOER2,PALT1));	((PALT2,PALT1),(PALT3,BOER2));
QS45	60	1	3	((PSCH2,NIRI2),(FAFR3,CAHU1));	((PSCH2,FAFR3),(NIRI2,CAHU1));	((PSCH2,CAHU1),(FAFR3,NIRI2));
QS46	52	3	5	((CACA2,PBON2),(FABR2,PEPA3));	((CACA2,FABR2),(PBON2,PEPA3));	((CACA2,PEPA3),(FABR2,PBON2));
QS47	77	1	3	((FAPE2,PLNY1),(FABR2,FABR3));	((FAPE2,FABR2),(PLNY1,FABR3));	((FAPE2,FABR3),(FABR2,PLNY1));
QS48	6	15	11	((FABR2,PINF3),(FABR1,FABR3));	((FABR2,FABR1),(PINF3,FABR3));	((FABR2,FABR3),(FABR1,PINF3));
QS49	20	12	8	((FABR3,CAEL1),(FAIM2,FAPE1));	((FABR3,FAIM2),(CAEL1,FAPE1));	((FABR3,FAPE1),(FAIM2,CAEL1));
QS50	19	13	10	((FDEN1,PSCH1),(FAIM1,PEPA2));	((FDEN1,FAIM1),(PSCH1,PEPA2));	((FDEN1,PEPA2),(FAIM1,PSCH1));
QS51	77	1	0	((PEPA3,CAHE2),(FAIM1,FAIM3));	((PEPA3,FAIM1),(CAHE2,FAIM3));	((PEPA3,FAIM3),(FAIM1,CAHE2));
QS52	18	7	17	((FAIM1,HUTE1),(FAIM3,FAIM2));	((FAIM1,FAIM3),(HUTE1,FAIM2));	((FAIM1,FAIM2),(FAIM3,HUTE1));
QS53	84	1	0	((FAIM3,CSEL3),(PEPA3,PEPA2));	((FAIM3,PEPA3),(CSEL3,PEPA2));	((FAIM3,PEPA2),(PEPA3,CSEL3));
QS54	12	12	8	((PEPA3,FAIM3),(PEPA1,PEPA2));	((PEPA3,PEPA1),(FAIM3,PEPA2));	((PEPA3,PEPA2),(PEPA1,FAIM3));
QS55	14	12	15	((PEPA1,HUTE1),(FAPU1,FAFR2));	((PEPA1,FAPU1),(HUTE1,FAFR2));	((PEPA1,FAFR2),(FAPU1,HUTE1));
QS56	43	4	9	((FAFR2,PEIN1),(FAPU1,FAPE1));	((FAFR2,FAPU1),(PEIN1,FAPE1));	((FAFR2,FAPE1),(FAPU1,PEIN1));
QS57	52	3	6	((FAPE3,FABR1),(FAPU2,FAPU3));	((FAPE3,FAPU2),(FABR1,FAPU3));	((FAPE3,FAPU3),(FAPU2,FABR1));
QS58	14	11	11	((FAPU2,CAEL3),(FAPU3,FAPU1));	((FAPU2,FAPU3),(CAEL3,FAPU1));	((FAPU2,FAPU1),(FAPU3,CAEL3));
QS59	35	11	5	((FAPU3,PBON2),(FDEN2,FAPE1));	((FAPU3,FDEN2),(PBON2,FAPE1));	((FAPU3,FAPE1),(FDEN2,PBON2));
QS60	32	6	8	((FAPE2,FAVI1),(FDEN3,FDEN2));	((FAPE2,FDEN3),(FAVI1,FDEN2));	((FAPE2,FDEN2),(FDEN3,FAVI1));
QS61	21	15	14	((FDEN3,PCOR1),(FDEN1,FDEN2));	((FDEN3,FDEN1),(PCOR1,FDEN2));	((FDEN3,FDEN2),(FDEN1,PCOR1));
QS62	27	7	8	((FDEN2,CAOV3),(FAPE1,FAPE2));	((FDEN2,FAPE1),(CAOV3,FAPE2));	((FDEN2,FAPE2),(FAPE1,CAOV3));
