qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,BOER,CACA,CAHE,CAIR,0.45185185185185184,0.2691358024691358,0.27901234567901234,1215.0
2,BOER,CACA,CAHE,CAOV,0.4765432098765432,0.25925925925925924,0.2641975308641975,1215.0
3,BOER,CACA,CAIR,CAOV,0.4551440329218107,0.27242798353909464,0.27242798353909464,1215.0
4,BOER,CAHE,CAIR,CAOV,0.32592592592592595,0.362962962962963,0.3111111111111111,1215.0
5,CACA,CAHE,CAIR,CAOV,0.32181069958847736,0.3662551440329218,0.31193415637860084,1215.0
6,BOER,CACA,CAHE,CAPY,0.043621399176954734,0.03786008230452675,0.9185185185185185,1215.0
7,BOER,CACA,CAIR,CAPY,0.04938271604938271,0.02962962962962963,0.9209876543209876,1215.0
8,BOER,CAHE,CAIR,CAPY,0.04609053497942387,0.03374485596707819,0.920164609053498,1215.0
9,CACA,CAHE,CAIR,CAPY,0.2872427983539095,0.2691358024691358,0.44362139917695476,1215.0
10,BOER,CACA,CAOV,CAPY,0.056790123456790124,0.027983539094650206,0.9152263374485596,1215.0
11,BOER,CAHE,CAOV,CAPY,0.048559670781893,0.02962962962962963,0.9218106995884774,1215.0
12,CACA,CAHE,CAOV,CAPY,0.2740740740740741,0.2559670781893004,0.4699588477366255,1215.0
13,BOER,CAIR,CAOV,CAPY,0.03539094650205761,0.03950617283950617,0.9251028806584363,1215.0
14,CACA,CAIR,CAOV,CAPY,0.2773662551440329,0.2781893004115226,0.4444444444444444,1215.0
15,CAHE,CAIR,CAOV,CAPY,0.31193415637860084,0.36707818930041153,0.32098765432098764,1215.0
16,BOER,CACA,CAHE,CASE,0.41728395061728396,0.3069958847736626,0.2757201646090535,1215.0
17,BOER,CACA,CAIR,CASE,0.3950617283950617,0.3168724279835391,0.2880658436213992,1215.0
18,BOER,CAHE,CAIR,CASE,0.2946502057613169,0.3292181069958848,0.37613168724279833,1215.0
19,CACA,CAHE,CAIR,CASE,0.2823045267489712,0.3267489711934156,0.39094650205761317,1215.0
20,BOER,CACA,CAOV,CASE,0.4024691358024691,0.32592592592592595,0.2716049382716049,1215.0
21,BOER,CAHE,CAOV,CASE,0.28559670781893004,0.30864197530864196,0.405761316872428,1215.0
22,CACA,CAHE,CAOV,CASE,0.2880658436213992,0.297119341563786,0.4148148148148148,1215.0
23,BOER,CAIR,CAOV,CASE,0.3069958847736626,0.291358024691358,0.4016460905349794,1215.0
24,CACA,CAIR,CAOV,CASE,0.30781893004115224,0.2683127572016461,0.42386831275720166,1215.0
25,CAHE,CAIR,CAOV,CASE,0.32098765432098764,0.3366255144032922,0.34238683127572017,1215.0
26,BOER,CACA,CAPY,CASE,0.060905349794238686,0.9069958847736626,0.03209876543209877,1215.0
27,BOER,CAHE,CAPY,CASE,0.05185185185185185,0.9193415637860082,0.02880658436213992,1215.0
28,CACA,CAHE,CAPY,CASE,0.297119341563786,0.4016460905349794,0.3012345679012346,1215.0
29,BOER,CAIR,CAPY,CASE,0.048559670781893,0.9102880658436214,0.0411522633744856,1215.0
30,CACA,CAIR,CAPY,CASE,0.30205761316872426,0.3802469135802469,0.3176954732510288,1215.0
31,CAHE,CAIR,CAPY,CASE,0.39012345679012345,0.2880658436213992,0.32181069958847736,1215.0
32,BOER,CAOV,CAPY,CASE,0.04279835390946502,0.9267489711934156,0.030452674897119343,1215.0
33,CACA,CAOV,CAPY,CASE,0.28559670781893004,0.3868312757201646,0.32757201646090534,1215.0
34,CAHE,CAOV,CAPY,CASE,0.41646090534979424,0.2773662551440329,0.30617283950617286,1215.0
35,CAIR,CAOV,CAPY,CASE,0.4090534979423868,0.30534979423868314,0.28559670781893004,1215.0
36,BOER,CACA,CAHE,CATH,0.44279835390946504,0.2946502057613169,0.2625514403292181,1215.0
37,BOER,CACA,CAIR,CATH,0.45185185185185184,0.2823045267489712,0.26584362139917694,1215.0
38,BOER,CAHE,CAIR,CATH,0.31934156378600825,0.3465020576131687,0.33415637860082303,1215.0
39,CACA,CAHE,CAIR,CATH,0.3390946502057613,0.33827160493827163,0.3226337448559671,1215.0
40,BOER,CACA,CAOV,CATH,0.46255144032921813,0.2757201646090535,0.2617283950617284,1215.0
41,BOER,CAHE,CAOV,CATH,0.33827160493827163,0.3234567901234568,0.33827160493827163,1215.0
42,CACA,CAHE,CAOV,CATH,0.3176954732510288,0.32181069958847736,0.36049382716049383,1215.0
43,BOER,CAIR,CAOV,CATH,0.3390946502057613,0.3226337448559671,0.33827160493827163,1215.0
44,CACA,CAIR,CAOV,CATH,0.3308641975308642,0.33168724279835393,0.3374485596707819,1215.0
45,CAHE,CAIR,CAOV,CATH,0.32510288065843623,0.34814814814814815,0.3267489711934156,1215.0
46,BOER,CACA,CAPY,CATH,0.04691358024691358,0.9242798353909465,0.02880658436213992,1215.0
47,BOER,CAHE,CAPY,CATH,0.03786008230452675,0.9234567901234568,0.03868312757201646,1215.0
48,CACA,CAHE,CAPY,CATH,0.26337448559670784,0.4378600823045268,0.29876543209876544,1215.0
49,BOER,CAIR,CAPY,CATH,0.027983539094650206,0.9275720164609054,0.044444444444444446,1215.0
50,CACA,CAIR,CAPY,CATH,0.2707818930041152,0.4419753086419753,0.2872427983539095,1215.0
