t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
BOER,CACA,CAHE,CAIR,0.451851852,0.269135802,0.279012346,1215
BOER,CACA,CAHE,CAOV,0.47654321,0.259259259,0.264197531,1215
BOER,CACA,CAIR,CAOV,0.455144033,0.272427984,0.272427984,1215
BOER,CAHE,CAIR,CAOV,0.325925926,0.362962963,0.311111111,1215
CACA,CAHE,CAIR,CAOV,0.3218107,0.366255144,0.311934156,1215
BOER,CACA,CAHE,CAPY,0.043621399,0.037860082,0.918518519,1215
BOER,CACA,CAIR,CAPY,0.049382716,0.02962963,0.920987654,1215
BOER,CAHE,CAIR,CAPY,0.046090535,0.033744856,0.920164609,1215
CACA,CAHE,CAIR,CAPY,0.287242798,0.269135802,0.443621399,1215
BOER,CACA,CAOV,CAPY,0.056790123,0.027983539,0.915226337,1215
BOER,CAHE,CAOV,CAPY,0.048559671,0.02962963,0.9218107,1215
CACA,CAHE,CAOV,CAPY,0.274074074,0.255967078,0.469958848,1215
BOER,CAIR,CAOV,CAPY,0.035390947,0.039506173,0.925102881,1215
CACA,CAIR,CAOV,CAPY,0.277366255,0.2781893,0.444444444,1215
CAHE,CAIR,CAOV,CAPY,0.311934156,0.367078189,0.320987654,1215
BOER,CACA,CAHE,CASE,0.417283951,0.306995885,0.275720165,1215
BOER,CACA,CAIR,CASE,0.395061728,0.316872428,0.288065844,1215
BOER,CAHE,CAIR,CASE,0.294650206,0.329218107,0.376131687,1215
CACA,CAHE,CAIR,CASE,0.282304527,0.326748971,0.390946502,1215
BOER,CACA,CAOV,CASE,0.402469136,0.325925926,0.271604938,1215
BOER,CAHE,CAOV,CASE,0.285596708,0.308641975,0.405761317,1215
CACA,CAHE,CAOV,CASE,0.288065844,0.297119342,0.414814815,1215
BOER,CAIR,CAOV,CASE,0.306995885,0.291358025,0.401646091,1215
CACA,CAIR,CAOV,CASE,0.30781893,0.268312757,0.423868313,1215
CAHE,CAIR,CAOV,CASE,0.320987654,0.336625514,0.342386831,1215
BOER,CACA,CAPY,CASE,0.06090535,0.906995885,0.032098765,1215
BOER,CAHE,CAPY,CASE,0.051851852,0.919341564,0.028806584,1215
CACA,CAHE,CAPY,CASE,0.297119342,0.401646091,0.301234568,1215
BOER,CAIR,CAPY,CASE,0.048559671,0.910288066,0.041152263,1215
CACA,CAIR,CAPY,CASE,0.302057613,0.380246914,0.317695473,1215
CAHE,CAIR,CAPY,CASE,0.390123457,0.288065844,0.3218107,1215
BOER,CAOV,CAPY,CASE,0.042798354,0.926748971,0.030452675,1215
CACA,CAOV,CAPY,CASE,0.285596708,0.386831276,0.327572016,1215
CAHE,CAOV,CAPY,CASE,0.416460905,0.277366255,0.30617284,1215
CAIR,CAOV,CAPY,CASE,0.409053498,0.305349794,0.285596708,1215
BOER,CACA,CAHE,CATH,0.442798354,0.294650206,0.26255144,1215
BOER,CACA,CAIR,CATH,0.451851852,0.282304527,0.265843621,1215
BOER,CAHE,CAIR,CATH,0.319341564,0.346502058,0.334156379,1215
CACA,CAHE,CAIR,CATH,0.33909465,0.338271605,0.322633745,1215
BOER,CACA,CAOV,CATH,0.46255144,0.275720165,0.261728395,1215
BOER,CAHE,CAOV,CATH,0.338271605,0.32345679,0.338271605,1215
CACA,CAHE,CAOV,CATH,0.317695473,0.3218107,0.360493827,1215
BOER,CAIR,CAOV,CATH,0.33909465,0.322633745,0.338271605,1215
CACA,CAIR,CAOV,CATH,0.330864198,0.331687243,0.33744856,1215
CAHE,CAIR,CAOV,CATH,0.325102881,0.348148148,0.326748971,1215
BOER,CACA,CAPY,CATH,0.04691358,0.924279835,0.028806584,1215
BOER,CAHE,CAPY,CATH,0.037860082,0.92345679,0.038683128,1215
CACA,CAHE,CAPY,CATH,0.263374486,0.437860082,0.298765432,1215
BOER,CAIR,CAPY,CATH,0.027983539,0.927572016,0.044444444,1215
CACA,CAIR,CAPY,CATH,0.270781893,0.441975309,0.287242798,1215
CAHE,CAIR,CAPY,CATH,0.327572016,0.3218107,0.350617284,1215
BOER,CAOV,CAPY,CATH,0.035390947,0.920987654,0.043621399,1215
CACA,CAOV,CAPY,CATH,0.266666667,0.447736626,0.285596708,1215
CAHE,CAOV,CAPY,CATH,0.340740741,0.330041152,0.329218107,1215
CAIR,CAOV,CAPY,CATH,0.336625514,0.341563786,0.3218107,1215
BOER,CACA,CASE,CATH,0.374485597,0.306995885,0.318518519,1215
BOER,CAHE,CASE,CATH,0.267489712,0.397530864,0.334979424,1215
CACA,CAHE,CASE,CATH,0.255144033,0.397530864,0.347325103,1215
BOER,CAIR,CASE,CATH,0.279012346,0.408230453,0.312757202,1215
CACA,CAIR,CASE,CATH,0.275720165,0.413168724,0.311111111,1215
CAHE,CAIR,CASE,CATH,0.306995885,0.362962963,0.330041152,1215
BOER,CAOV,CASE,CATH,0.2781893,0.405761317,0.316049383,1215
CACA,CAOV,CASE,CATH,0.260082305,0.426337449,0.313580247,1215
CAHE,CAOV,CASE,CATH,0.313580247,0.362139918,0.324279835,1215
CAIR,CAOV,CASE,CATH,0.311111111,0.343209877,0.345679012,1215
BOER,CAPY,CASE,CATH,0.913580247,0.032098765,0.054320988,1215
CACA,CAPY,CASE,CATH,0.357201646,0.317695473,0.325102881,1215
CAHE,CAPY,CASE,CATH,0.261728395,0.322633745,0.41563786,1215
CAIR,CAPY,CASE,CATH,0.279835391,0.306995885,0.413168724,1215
CAOV,CAPY,CASE,CATH,0.27654321,0.30617284,0.417283951,1215
BOER,CACA,CAHE,FABR,0.016460905,0.013168724,0.97037037,1215
BOER,CACA,CAIR,FABR,0.01399177,0.012345679,0.973662551,1215
BOER,CAHE,CAIR,FABR,0.012345679,0.014814815,0.972839506,1215
CACA,CAHE,CAIR,FABR,0.279835391,0.273251029,0.44691358,1215
BOER,CACA,CAOV,FABR,0.01563786,0.009876543,0.974485597,1215
BOER,CAHE,CAOV,FABR,0.01399177,0.011522634,0.974485597,1215
CACA,CAHE,CAOV,FABR,0.261728395,0.261728395,0.47654321,1215
BOER,CAIR,CAOV,FABR,0.011522634,0.009053498,0.979423868,1215
CACA,CAIR,CAOV,FABR,0.274074074,0.273251029,0.452674897,1215
CAHE,CAIR,CAOV,FABR,0.310288066,0.362139918,0.327572016,1215
BOER,CACA,CAPY,FABR,0.068312757,0.040329218,0.891358025,1215
BOER,CAHE,CAPY,FABR,0.070781893,0.044444444,0.884773663,1215
CACA,CAHE,CAPY,FABR,0.922633745,0.037860082,0.039506173,1215
BOER,CAIR,CAPY,FABR,0.069135802,0.041975309,0.888888889,1215
CACA,CAIR,CAPY,FABR,0.927572016,0.027983539,0.044444444,1215
CAHE,CAIR,CAPY,FABR,0.925102881,0.030452675,0.044444444,1215
BOER,CAOV,CAPY,FABR,0.067489712,0.042798354,0.889711934,1215
CACA,CAOV,CAPY,FABR,0.92345679,0.026337449,0.050205761,1215
CAHE,CAOV,CAPY,FABR,0.925925926,0.027983539,0.046090535,1215
CAIR,CAOV,CAPY,FABR,0.930041152,0.037037037,0.032921811,1215
BOER,CACA,CASE,FABR,0.022222222,0.008230453,0.969547325,1215
BOER,CAHE,CASE,FABR,0.017283951,0.009053498,0.973662551,1215
CACA,CAHE,CASE,FABR,0.279835391,0.30617284,0.41399177,1215
BOER,CAIR,CASE,FABR,0.019753086,0.009053498,0.971193416,1215
CACA,CAIR,CASE,FABR,0.29382716,0.314403292,0.391769547,1215
CAHE,CAIR,CASE,FABR,0.379423868,0.325102881,0.295473251,1215
BOER,CAOV,CASE,FABR,0.014814815,0.005761317,0.979423868,1215
CACA,CAOV,CASE,FABR,0.27654321,0.322633745,0.400823045,1215
CAHE,CAOV,CASE,FABR,0.409053498,0.303703704,0.287242798,1215
CAIR,CAOV,CASE,FABR,0.404938272,0.286419753,0.308641975,1215
BOER,CAPY,CASE,FABR,0.04526749,0.067489712,0.887242798,1215
CACA,CAPY,CASE,FABR,0.033744856,0.914403292,0.051851852,1215
CAHE,CAPY,CASE,FABR,0.030452675,0.920164609,0.049382716,1215
CAIR,CAPY,CASE,FABR,0.041152263,0.916049383,0.042798354,1215
CAOV,CAPY,CASE,FABR,0.03127572,0.931687243,0.037037037,1215
BOER,CACA,CATH,FABR,0.01563786,0.011522634,0.972839506,1215
BOER,CAHE,CATH,FABR,0.012345679,0.01399177,0.973662551,1215
CACA,CAHE,CATH,FABR,0.264197531,0.296296296,0.439506173,1215
BOER,CAIR,CATH,FABR,0.010699588,0.013168724,0.976131687,1215
CACA,CAIR,CATH,FABR,0.269135802,0.283127572,0.447736626,1215
CAHE,CAIR,CATH,FABR,0.334979424,0.345679012,0.319341564,1215
BOER,CAOV,CATH,FABR,0.013168724,0.012345679,0.974485597,1215
CACA,CAOV,CATH,FABR,0.265843621,0.274897119,0.459259259,1215
CAHE,CAOV,CATH,FABR,0.341563786,0.319341564,0.33909465,1215
CAIR,CAOV,CATH,FABR,0.341563786,0.320164609,0.338271605,1215
BOER,CAPY,CATH,FABR,0.041975309,0.069958848,0.888065844,1215
CACA,CAPY,CATH,FABR,0.02962963,0.929218107,0.041152263,1215
CAHE,CAPY,CATH,FABR,0.035390947,0.930041152,0.034567901,1215
CAIR,CAPY,CATH,FABR,0.042798354,0.929218107,0.027983539,1215
CAOV,CAPY,CATH,FABR,0.043621399,0.925102881,0.03127572,1215
BOER,CASE,CATH,FABR,0.009053498,0.021399177,0.969547325,1215
CACA,CASE,CATH,FABR,0.319341564,0.310288066,0.37037037,1215
CAHE,CASE,CATH,FABR,0.331687243,0.399176955,0.269135802,1215
CAIR,CASE,CATH,FABR,0.312757202,0.409876543,0.277366255,1215
CAOV,CASE,CATH,FABR,0.316049383,0.409876543,0.274074074,1215
CAPY,CASE,CATH,FABR,0.048559671,0.032921811,0.918518519,1215
BOER,CACA,CAHE,FAPA,0.017283951,0.011522634,0.971193416,1215
BOER,CACA,CAIR,FAPA,0.013168724,0.011522634,0.975308642,1215
BOER,CAHE,CAIR,FAPA,0.012345679,0.01399177,0.973662551,1215
CACA,CAHE,CAIR,FAPA,0.279012346,0.274074074,0.44691358,1215
BOER,CACA,CAOV,FAPA,0.01563786,0.009053498,0.975308642,1215
BOER,CAHE,CAOV,FAPA,0.010699588,0.010699588,0.978600823,1215
CACA,CAHE,CAOV,FAPA,0.260082305,0.263374486,0.47654321,1215
BOER,CAIR,CAOV,FAPA,0.010699588,0.009053498,0.980246914,1215
CACA,CAIR,CAOV,FAPA,0.272427984,0.273251029,0.454320988,1215
CAHE,CAIR,CAOV,FAPA,0.306995885,0.363786008,0.329218107,1215
BOER,CACA,CAPY,FAPA,0.073251029,0.041975309,0.884773663,1215
BOER,CAHE,CAPY,FAPA,0.073251029,0.04691358,0.879835391,1215
CACA,CAHE,CAPY,FAPA,0.925925926,0.037037037,0.037037037,1215
BOER,CAIR,CAPY,FAPA,0.072427984,0.044444444,0.883127572,1215
CACA,CAIR,CAPY,FAPA,0.928395062,0.026337449,0.04526749,1215
CAHE,CAIR,CAPY,FAPA,0.927572016,0.028806584,0.043621399,1215
BOER,CAOV,CAPY,FAPA,0.070781893,0.046090535,0.883127572,1215
CACA,CAOV,CAPY,FAPA,0.92345679,0.026337449,0.050205761,1215
CAHE,CAOV,CAPY,FAPA,0.930041152,0.024691358,0.04526749,1215
CAIR,CAOV,CAPY,FAPA,0.932510288,0.036213992,0.03127572,1215
BOER,CACA,CASE,FAPA,0.018930041,0.007407407,0.973662551,1215
BOER,CAHE,CASE,FAPA,0.01399177,0.009053498,0.976954733,1215
CACA,CAHE,CASE,FAPA,0.281481481,0.30617284,0.412345679,1215
BOER,CAIR,CASE,FAPA,0.016460905,0.010699588,0.972839506,1215
CACA,CAIR,CASE,FAPA,0.29382716,0.314403292,0.391769547,1215
CAHE,CAIR,CASE,FAPA,0.378600823,0.325102881,0.296296296,1215
BOER,CAOV,CASE,FAPA,0.013168724,0.008230453,0.978600823,1215
CACA,CAOV,CASE,FAPA,0.277366255,0.3218107,0.400823045,1215
CAHE,CAOV,CASE,FAPA,0.409876543,0.302880658,0.287242798,1215
CAIR,CAOV,CASE,FAPA,0.405761317,0.287242798,0.306995885,1215
BOER,CAPY,CASE,FAPA,0.04691358,0.071604938,0.881481481,1215
CACA,CAPY,CASE,FAPA,0.032098765,0.916872428,0.051028807,1215
CAHE,CAPY,CASE,FAPA,0.026337449,0.925102881,0.048559671,1215
CAIR,CAPY,CASE,FAPA,0.039506173,0.918518519,0.041975309,1215
CAOV,CAPY,CASE,FAPA,0.02962963,0.933333333,0.037037037,1215
BOER,CACA,CATH,FAPA,0.016460905,0.009876543,0.973662551,1215
BOER,CAHE,CATH,FAPA,0.013168724,0.01399177,0.972839506,1215
CACA,CAHE,CATH,FAPA,0.263374486,0.297119342,0.439506173,1215
BOER,CAIR,CATH,FAPA,0.010699588,0.009876543,0.979423868,1215
CACA,CAIR,CATH,FAPA,0.269958848,0.280658436,0.449382716,1215
CAHE,CAIR,CATH,FAPA,0.334979424,0.344855967,0.320164609,1215
BOER,CAOV,CATH,FAPA,0.012345679,0.011522634,0.976131687,1215
CACA,CAOV,CATH,FAPA,0.265020576,0.275720165,0.459259259,1215
CAHE,CAOV,CATH,FAPA,0.340740741,0.319341564,0.339917695,1215
CAIR,CAOV,CATH,FAPA,0.342386831,0.320164609,0.33744856,1215
BOER,CAPY,CATH,FAPA,0.043621399,0.073251029,0.883127572,1215
CACA,CAPY,CATH,FAPA,0.027160494,0.932510288,0.040329218,1215
CAHE,CAPY,CATH,FAPA,0.033744856,0.930864198,0.035390947,1215
CAIR,CAPY,CATH,FAPA,0.042798354,0.930864198,0.026337449,1215
CAOV,CAPY,CATH,FAPA,0.041152263,0.926748971,0.032098765,1215
BOER,CASE,CATH,FAPA,0.009876543,0.016460905,0.973662551,1215
CACA,CASE,CATH,FAPA,0.319341564,0.311934156,0.36872428,1215
CAHE,CASE,CATH,FAPA,0.331687243,0.4,0.268312757,1215
CAIR,CASE,CATH,FAPA,0.313580247,0.410699588,0.275720165,1215
CAOV,CASE,CATH,FAPA,0.316049383,0.410699588,0.273251029,1215
CAPY,CASE,CATH,FAPA,0.047736626,0.02962963,0.922633745,1215
BOER,CACA,FABR,FAPA,0.806584362,0.095473251,0.097942387,1215
BOER,CAHE,FABR,FAPA,0.805761317,0.096296296,0.097942387,1215
CACA,CAHE,FABR,FAPA,0.985185185,0.009053498,0.005761317,1215
BOER,CAIR,FABR,FAPA,0.806584362,0.095473251,0.097942387,1215
CACA,CAIR,FABR,FAPA,0.98600823,0.005761317,0.008230453,1215
CAHE,CAIR,FABR,FAPA,0.98600823,0.005761317,0.008230453,1215
BOER,CAOV,FABR,FAPA,0.804115226,0.097119342,0.098765432,1215
CACA,CAOV,FABR,FAPA,0.98600823,0.006584362,0.007407407,1215
CAHE,CAOV,FABR,FAPA,0.988477366,0.003292181,0.008230453,1215
CAIR,CAOV,FABR,FAPA,0.986831276,0.006584362,0.006584362,1215
BOER,CAPY,FABR,FAPA,0.8,0.097942387,0.102057613,1215
CACA,CAPY,FABR,FAPA,0.958847737,0.021399177,0.019753086,1215
CAHE,CAPY,FABR,FAPA,0.956378601,0.020576132,0.023045267,1215
CAIR,CAPY,FABR,FAPA,0.957201646,0.022222222,0.020576132,1215
CAOV,CAPY,FABR,FAPA,0.955555556,0.022222222,0.022222222,1215
BOER,CASE,FABR,FAPA,0.804115226,0.097119342,0.098765432,1215
CACA,CASE,FABR,FAPA,0.983539095,0.007407407,0.009053498,1215
CAHE,CASE,FABR,FAPA,0.985185185,0.005761317,0.009053498,1215
CAIR,CASE,FABR,FAPA,0.983539095,0.007407407,0.009053498,1215
CAOV,CASE,FABR,FAPA,0.988477366,0.004938272,0.006584362,1215
CAPY,CASE,FABR,FAPA,0.953909465,0.023045267,0.023045267,1215
BOER,CATH,FABR,FAPA,0.806584362,0.096296296,0.097119342,1215
CACA,CATH,FABR,FAPA,0.986831276,0.007407407,0.005761317,1215
CAHE,CATH,FABR,FAPA,0.987654321,0.005761317,0.006584362,1215
CAIR,CATH,FABR,FAPA,0.986831276,0.009053498,0.004115226,1215
CAOV,CATH,FABR,FAPA,0.98436214,0.008230453,0.007407407,1215
CAPY,CATH,FABR,FAPA,0.956378601,0.021399177,0.022222222,1215
CASE,CATH,FABR,FAPA,0.982716049,0.010699588,0.006584362,1215
BOER,CACA,CAHE,FDEN,0.01399177,0.013168724,0.972839506,1215
BOER,CACA,CAIR,FDEN,0.011522634,0.010699588,0.977777778,1215
BOER,CAHE,CAIR,FDEN,0.012345679,0.010699588,0.976954733,1215
CACA,CAHE,CAIR,FDEN,0.279835391,0.273251029,0.44691358,1215
BOER,CACA,CAOV,FDEN,0.013168724,0.009053498,0.977777778,1215
BOER,CAHE,CAOV,FDEN,0.010699588,0.009876543,0.979423868,1215
CACA,CAHE,CAOV,FDEN,0.26090535,0.263374486,0.475720165,1215
BOER,CAIR,CAOV,FDEN,0.008230453,0.007407407,0.98436214,1215
CACA,CAIR,CAOV,FDEN,0.271604938,0.274074074,0.454320988,1215
CAHE,CAIR,CAOV,FDEN,0.306995885,0.364609053,0.328395062,1215
BOER,CACA,CAPY,FDEN,0.065843621,0.044444444,0.889711934,1215
BOER,CAHE,CAPY,FDEN,0.067489712,0.04691358,0.885596708,1215
CACA,CAHE,CAPY,FDEN,0.924279835,0.036213992,0.039506173,1215
BOER,CAIR,CAPY,FDEN,0.065020576,0.04691358,0.888065844,1215
CACA,CAIR,CAPY,FDEN,0.927572016,0.026337449,0.046090535,1215
CAHE,CAIR,CAPY,FDEN,0.925925926,0.030452675,0.043621399,1215
BOER,CAOV,CAPY,FDEN,0.063374486,0.047736626,0.888888889,1215
CACA,CAOV,CAPY,FDEN,0.922633745,0.024691358,0.052674897,1215
CAHE,CAOV,CAPY,FDEN,0.927572016,0.024691358,0.047736626,1215
CAIR,CAOV,CAPY,FDEN,0.931687243,0.035390947,0.032921811,1215
BOER,CACA,CASE,FDEN,0.017283951,0.008230453,0.974485597,1215
BOER,CAHE,CASE,FDEN,0.012345679,0.006584362,0.981069959,1215
CACA,CAHE,CASE,FDEN,0.279835391,0.30617284,0.41399177,1215
BOER,CAIR,CASE,FDEN,0.014814815,0.009053498,0.976131687,1215
CACA,CAIR,CASE,FDEN,0.29218107,0.316049383,0.391769547,1215
CAHE,CAIR,CASE,FDEN,0.376131687,0.327572016,0.296296296,1215
BOER,CAOV,CASE,FDEN,0.012345679,0.005761317,0.981893004,1215
CACA,CAOV,CASE,FDEN,0.27654321,0.3218107,0.401646091,1215
CAHE,CAOV,CASE,FDEN,0.409053498,0.302880658,0.288065844,1215
CAIR,CAOV,CASE,FDEN,0.404115226,0.287242798,0.308641975,1215
BOER,CAPY,CASE,FDEN,0.047736626,0.064197531,0.888065844,1215
CACA,CAPY,CASE,FDEN,0.03127572,0.915226337,0.053497942,1215
CAHE,CAPY,CASE,FDEN,0.027983539,0.922633745,0.049382716,1215
CAIR,CAPY,CASE,FDEN,0.039506173,0.917695473,0.042798354,1215
CAOV,CAPY,CASE,FDEN,0.03127572,0.932510288,0.036213992,1215
BOER,CACA,CATH,FDEN,0.01399177,0.009876543,0.976131687,1215
BOER,CAHE,CATH,FDEN,0.011522634,0.010699588,0.977777778,1215
CACA,CAHE,CATH,FDEN,0.265020576,0.294650206,0.440329218,1215
BOER,CAIR,CATH,FDEN,0.009053498,0.009876543,0.981069959,1215
CACA,CAIR,CATH,FDEN,0.269958848,0.280658436,0.449382716,1215
CAHE,CAIR,CATH,FDEN,0.334156379,0.346502058,0.319341564,1215
BOER,CAOV,CATH,FDEN,0.011522634,0.009053498,0.979423868,1215
CACA,CAOV,CATH,FDEN,0.266666667,0.273251029,0.460082305,1215
CAHE,CAOV,CATH,FDEN,0.340740741,0.318518519,0.340740741,1215
CAIR,CAOV,CATH,FDEN,0.343209877,0.318518519,0.338271605,1215
BOER,CAPY,CATH,FDEN,0.04526749,0.067489712,0.887242798,1215
CACA,CAPY,CATH,FDEN,0.027983539,0.930864198,0.041152263,1215
CAHE,CAPY,CATH,FDEN,0.034567901,0.931687243,0.033744856,1215
CAIR,CAPY,CATH,FDEN,0.043621399,0.930041152,0.026337449,1215
CAOV,CAPY,CATH,FDEN,0.044444444,0.925925926,0.02962963,1215
BOER,CASE,CATH,FDEN,0.009053498,0.01563786,0.975308642,1215
CACA,CASE,CATH,FDEN,0.319341564,0.309465021,0.371193416,1215
CAHE,CASE,CATH,FDEN,0.332510288,0.399176955,0.268312757,1215
CAIR,CASE,CATH,FDEN,0.313580247,0.409053498,0.277366255,1215
CAOV,CASE,CATH,FDEN,0.317695473,0.409876543,0.272427984,1215
CAPY,CASE,CATH,FDEN,0.049382716,0.030452675,0.920164609,1215
BOER,CACA,FABR,FDEN,0.797530864,0.095473251,0.106995885,1215
BOER,CAHE,FABR,FDEN,0.796707819,0.095473251,0.10781893,1215
CACA,CAHE,FABR,FDEN,0.985185185,0.005761317,0.009053498,1215
BOER,CAIR,FABR,FDEN,0.795884774,0.097119342,0.106995885,1215
CACA,CAIR,FABR,FDEN,0.986831276,0.005761317,0.007407407,1215
CAHE,CAIR,FABR,FDEN,0.987654321,0.008230453,0.004115226,1215
BOER,CAOV,FABR,FDEN,0.795061728,0.097942387,0.106995885,1215
CACA,CAOV,FABR,FDEN,0.986831276,0.005761317,0.007407407,1215
CAHE,CAOV,FABR,FDEN,0.987654321,0.005761317,0.006584362,1215
CAIR,CAOV,FABR,FDEN,0.990946502,0.004115226,0.004938272,1215
BOER,CAPY,FABR,FDEN,0.792592593,0.098765432,0.108641975,1215
CACA,CAPY,FABR,FDEN,0.95473251,0.021399177,0.023868313,1215
CAHE,CAPY,FABR,FDEN,0.952263374,0.022222222,0.025514403,1215
CAIR,CAPY,FABR,FDEN,0.95308642,0.021399177,0.025514403,1215
CAOV,CAPY,FABR,FDEN,0.952263374,0.021399177,0.026337449,1215
BOER,CASE,FABR,FDEN,0.796707819,0.094650206,0.108641975,1215
CACA,CASE,FABR,FDEN,0.985185185,0.004938272,0.009876543,1215
CAHE,CASE,FABR,FDEN,0.986831276,0.005761317,0.007407407,1215
CAIR,CASE,FABR,FDEN,0.98600823,0.004938272,0.009053498,1215
CAOV,CASE,FABR,FDEN,0.989300412,0.004115226,0.006584362,1215
CAPY,CASE,FABR,FDEN,0.952263374,0.024691358,0.023045267,1215
BOER,CATH,FABR,FDEN,0.798353909,0.096296296,0.105349794,1215
CACA,CATH,FABR,FDEN,0.988477366,0.005761317,0.005761317,1215
CAHE,CATH,FABR,FDEN,0.988477366,0.007407407,0.004115226,1215
CAIR,CATH,FABR,FDEN,0.987654321,0.007407407,0.004938272,1215
CAOV,CATH,FABR,FDEN,0.986831276,0.007407407,0.005761317,1215
CAPY,CATH,FABR,FDEN,0.95308642,0.025514403,0.021399177,1215
CASE,CATH,FABR,FDEN,0.98436214,0.010699588,0.004938272,1215
BOER,CACA,FAPA,FDEN,0.855967078,0.069958848,0.074074074,1215
BOER,CAHE,FAPA,FDEN,0.855144033,0.069958848,0.074897119,1215
CACA,CAHE,FAPA,FDEN,0.986831276,0.004938272,0.008230453,1215
BOER,CAIR,FAPA,FDEN,0.855144033,0.071604938,0.073251029,1215
CACA,CAIR,FAPA,FDEN,0.990123457,0.005761317,0.004115226,1215
CAHE,CAIR,FAPA,FDEN,0.989300412,0.007407407,0.003292181,1215
BOER,CAOV,FAPA,FDEN,0.852674897,0.072427984,0.074897119,1215
CACA,CAOV,FAPA,FDEN,0.989300412,0.004938272,0.005761317,1215
CAHE,CAOV,FAPA,FDEN,0.992592593,0.004115226,0.003292181,1215
CAIR,CAOV,FAPA,FDEN,0.991769547,0.003292181,0.004938272,1215
BOER,CAPY,FAPA,FDEN,0.851028807,0.072427984,0.07654321,1215
CACA,CAPY,FAPA,FDEN,0.962139918,0.016460905,0.021399177,1215
CAHE,CAPY,FAPA,FDEN,0.961316872,0.018106996,0.020576132,1215
CAIR,CAPY,FAPA,FDEN,0.962962963,0.014814815,0.022222222,1215
CAOV,CAPY,FAPA,FDEN,0.961316872,0.016460905,0.022222222,1215
BOER,CASE,FAPA,FDEN,0.852674897,0.070781893,0.07654321,1215
CACA,CASE,FAPA,FDEN,0.991769547,0.003292181,0.004938272,1215
CAHE,CASE,FAPA,FDEN,0.988477366,0.005761317,0.005761317,1215
CAIR,CASE,FAPA,FDEN,0.988477366,0.004938272,0.006584362,1215
CAOV,CASE,FAPA,FDEN,0.990946502,0.004938272,0.004115226,1215
CAPY,CASE,FAPA,FDEN,0.961316872,0.021399177,0.017283951,1215
BOER,CATH,FAPA,FDEN,0.855144033,0.069958848,0.074897119,1215
CACA,CATH,FAPA,FDEN,0.990946502,0.004115226,0.004938272,1215
CAHE,CATH,FAPA,FDEN,0.990123457,0.005761317,0.004115226,1215
CAIR,CATH,FAPA,FDEN,0.990946502,0.003292181,0.005761317,1215
CAOV,CATH,FAPA,FDEN,0.988477366,0.006584362,0.004938272,1215
CAPY,CATH,FAPA,FDEN,0.961316872,0.021399177,0.017283951,1215
CASE,CATH,FAPA,FDEN,0.989300412,0.005761317,0.004938272,1215
BOER,FABR,FAPA,FDEN,0.485596708,0.248559671,0.265843621,1215
CACA,FABR,FAPA,FDEN,0.484773663,0.247736626,0.267489712,1215
CAHE,FABR,FAPA,FDEN,0.485596708,0.24691358,0.267489712,1215
CAIR,FABR,FAPA,FDEN,0.486419753,0.24526749,0.268312757,1215
CAOV,FABR,FAPA,FDEN,0.486419753,0.244444444,0.269135802,1215
CAPY,FABR,FAPA,FDEN,0.488065844,0.247736626,0.264197531,1215
CASE,FABR,FAPA,FDEN,0.486419753,0.246090535,0.267489712,1215
CATH,FABR,FAPA,FDEN,0.483950617,0.247736626,0.268312757,1215
BOER,CACA,CAHE,PAXI,0.009053498,0.005761317,0.985185185,1215
BOER,CACA,CAIR,PAXI,0.007407407,0.007407407,0.985185185,1215
